trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
pair-s00-n5-d3p5-t001-baseline,pair-s00-n5-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4.0882932336498424e-07,3.5739785846213103e-06,6.103515625e-05,0.9999999999936209
pair-s00-n5-d4-t001-baseline,pair-s00-n5-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.7289913030498895e-06,4.57763671875e-05,0.9999999999930547
pair-s00-n5-d4p5-t001-baseline,pair-s00-n5-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.923005768267591e-06,4.57763671875e-05,0.999999999992308
pair-s00-n5-d5-t001-baseline,pair-s00-n5-d5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.686271737593666e-07,4.0385106150372115e-06,4.57763671875e-05,0.9999999999918605
pair-s00-n5-d5p5-t001-baseline,pair-s00-n5-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0979225250496657e-07,4.183901427910543e-06,4.57763671875e-05,0.9999999999912564
pair-s00-n5-d6-t001-baseline,pair-s00-n5-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.948824241694326e-07,4.248315946368329e-06,4.57763671875e-05,0.9999999999909902
pair-s00-n5-d7-t001-baseline,pair-s00-n5-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0768583009588464e-07,4.347086771473535e-06,4.57763671875e-05,0.9999999999905591
pair-s00-n5-d8-t001-baseline,pair-s00-n5-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.130599452388903e-07,4.373030448119405e-06,4.57763671875e-05,0.9999999999904451
noise-s00-n20-t001-baseline,noise-s00-n20,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,6.990582381106272e-06,3.814697265625e-05,0.9999999999755814
pair-s00-n20-d3p5-t001-baseline,pair-s00-n20-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.196616219000091e-06,4.57763671875e-05,0.9999999999949054
