trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
division-t003-boundary_percent-01,division,3,boundary_percent,0.25,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-boundary_percent-03,division,3,boundary_percent,0.5,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-boundary_percent-04,division,3,boundary_percent,0.7,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t003-boundary_percent-05,division,3,boundary_percent,0.85,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.054832691520899e-07,3.5140819445807377e-06,4.57763671875e-05,0.9999999999938384
division-t004-baseline,division,4,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-sigma-00,division,4,sigma,0.6,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.1969110178518477e-06,1.0450104207965709e-05,4.57763671875e-05,0.9999999999454096
division-t004-sigma-01,division,4,sigma,0.8,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.315275180015327e-07,3.6677553760942203e-06,4.57763671875e-05,0.9999999999932816
division-t004-sigma-03,division,4,sigma,1.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.4006746148370283e-07,3.3923837245683152e-06,4.57763671875e-05,0.9999999999942484
division-t004-sigma-04,division,4,sigma,1.4,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.041332373715631e-06,4.57763671875e-05,0.9999999999953776
division-t004-intensitythreshold-00,division,4,intensitythreshold,4.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-intensitythreshold-01,division,4,intensitythreshold,9.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-intensitythreshold-03,division,4,intensitythreshold,36.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-intensitythreshold-04,division,4,intensitythreshold,72.0,0,0,2,0.25,0,1.0,0.0,0.0,,,,,1.0,,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-00,division,4,boundary_percent,0.15,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.0778056968952327e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-01,division,4,boundary_percent,0.25,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.0778056968952327e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-03,division,4,boundary_percent,0.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-04,division,4,boundary_percent,0.7,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-05,division,4,boundary_percent,0.85,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t006-baseline,division,6,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-sigma-00,division,6,sigma,0.6,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0703803230295143e-06,9.423859988975892e-06,6.103515625e-05,0.9999999999556014
division-t006-sigma-01,division,6,sigma,0.8,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.1898462051643984e-07,3.5879219914515937e-06,4.57763671875e-05,0.9999999999935654
division-t006-sigma-03,division,6,sigma,1.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.372014227091648e-07,3.3654875738977854e-06,3.814697265625e-05,0.999999999994337
division-t006-sigma-04,division,6,sigma,1.4,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.549582673572905e-07,3.2989722949399433e-06,4.57763671875e-05,0.9999999999945639
division-t006-intensitythreshold-00,division,6,intensitythreshold,4.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-intensitythreshold-01,division,6,intensitythreshold,9.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-intensitythreshold-03,division,6,intensitythreshold,36.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-intensitythreshold-04,division,6,intensitythreshold,72.0,0,0,2,0.25,0,1.0,0.0,0.0,,,,,1.0,,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-boundary_percent-00,division,6,boundary_percent,0.15,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-boundary_percent-01,division,6,boundary_percent,0.25,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-boundary_percent-03,division,6,boundary_percent,0.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-boundary_percent-04,division,6,boundary_percent,0.7,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
division-t006-boundary_percent-05,division,6,boundary_percent,0.85,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.252175494645796e-06,3.0517578125e-05,0.9999999999909778
